study_type,poverty_context,mechanism,behavior,title,date
"Observational, Case-study","Low resource level, Social environment","Anxiety, Stress","Crime, Violence","Understanding Nigeria Terrorism, its Implications to National Peace, Security, Unity and Sustainable Development: A Discuss",2013
"Observational, Cross-sectional",Low resource level,"Self-efficacy, Self esteem",Consumption,Precursors and outcomes of satisfaction in business-to-business relationship marketing. Insights from Hawkers/street vendors leafy vegetable market in South Africa,2019
"Observational, Interviews","Low resource level, Social environment","Self-efficacy, Internalized stigma",Family interaction,Decision Making Power of Homemakers in a Rural Muslim Community of West Bengal: An Empirical Study,2021
"Observational, Interviews","Low resource level, Social environment","Anxiety, Depression, Stress",Family interaction,Childhood and rural to urban migration in China: A tale of three villages,2022
"Observational, Interviews",Social environment,"Anxiety, Stress","Crime, Violence",When Eurosceptics become Europhiles: far-right opposition to Turkish involvement in the European Union,2019
"Observational, Case-study","Low resource level, Social environment","Happiness, Self esteem",Consumption,Design for service inclusion: creating inclusive service systems by 2050,2018
Interviews,Low resource level,Locus of control,Occupational choice,Elite clientelism in Nigeria: The role of parties in weakening legislator-voter ties,2021
"Observational, Interviews",Human capital inputs,"Attention, Cognitive flexibility, Executive function",Educational achievement,"Using Dialogues to Explore Genetics, Ancestry, and Race",2017
Observational,Low resource level,Locus of control,Educational achievement,Aspects Of Land Administration In The Context Of Good Governance,2009
"Observational, Cross-sectional","Low resource level, Physical environment",Stress,Food diet,Affluent Neighborhoods Reduce Excess Risk of Tooth Loss among the Poor,2008
"Observational, Cross-sectional, Longitudinal / Panel","Low resource level, Physical environment","Aspirations, Locus of control",Occupational choice,The Dynamics of Residential Segregation in Buffalo: An Agent-based Simulation,2009
"Case-study, Ethnography, First-hand observations","Low resource level, Social environment","Aspirations, Self-efficacy, Self esteem",Educational achievement,"Comics, kitsch, and class: an autoethnographic exploration of an accidental academic",2015
"Observational, Case-study, Interviews","Low resource level, Social environment","Self-efficacy, Insufficient info",Educational achievement,Investing in Sustainable and Resilient Rural Social Space,2011
"Observational, Cross-sectional",Low resource level,Happiness,Consumption,Cultural Consumption as a Trait of a Sustainable Lifestyle: Evidence from the European Union,2020
"Observational, Ethnography","Low resource level, Physical environment, Social environment","Stress, Aspirations, Locus of control",Educational achievement,How they see it: young women's views on early marriage in a post-conflict setting,2017
"Observational, Cross-sectional",Low resource level,"Anxiety, Stress",Medication adherence,Journey Through Healthcare of People With Complications of Type 2 Diabetes: A Qualitative Study of Lived Experiences,2024
"Observational, Ethnography","Low resource level, Social environment","Stress, Locus of control",Crime,Islamist Terrorism and State Failure in Northern Nigeria,2017
"Observational, Cross-sectional",Low resource level,"Time preferences, Risk preferences","Consumption, Saving","Valuing the water supply: ecosystem-based potable water supply management for the Legedadie-Dire catchments, Central Ethiopia",2019
Randomized (controlled) trial,Low resource level,"Executive control, Executive function","Consumption, Saving",Implementation intention formation reduces consultations for emergency contraception and pregnancy testing among teenage women.,2009
"Observational, Cross-sectional",Low resource level,"Self-efficacy, Locus of control","Investing, Labor Supply","Self - Employment Among Youths in Ojo and Alimosho LGA, Lagos Nigeria: Perceptions, Attitude and Contributions – A Statistical Assessment",2019
"Observational, Interviews",Low resource level,"Anxiety, Stress",Educational achievement,Antisocial Behaviors as Indicators of Latent School Dysfunction in Urban Morocco: a Phenomenology Study,2023
"Observational, Longitudinal / Panel","Low resource level, Physical environment",Time preferences,Occupational choice,Inequality and Internal Migration in China: Evidence from Village Panel Data,2009
"Observational, Cross-sectional","Low resource level, Physical environment","Stress, Anxiety",Medication adherence,"Causes and contributory factors of maternal mortality: evidence from maternal and perinatal death surveillance and response in Ogun state, Southwest Nigeria",2019
"Observational, Interviews","Low resource level, Social environment","Anxiety, Stress","Family interaction, Parenting",Presenting the Good Mother: Experiences of Canadian Adolescent Mothers Living in Rural Communities,2019
"Observational, Cross-sectional","Low resource level, Social environment","Anxiety, Stress",Violence,South Africa youths’ higher-risk sexual behaviour: an eco-developmental analysis,2010
"Observational, Longitudinal / Panel","Low resource level, Human capital inputs","Aspirations, Time preferences",Educational achievement,Human Capital and the Quality of Education in a Poverty Trap Model,2009
"Observational, Case-study, Interviews","Low resource level, Social environment","Internalized stigma, Locus of control","Family interaction, Parenting",Social Work and Social Exclusion in Turkey: An Overview,2008
"Observational, Ethnography, First-hand observations","Low resource level, Social environment","Self-efficacy, Self esteem","Educational achievement, Family interaction",Through the lens: accessing children's voices in New Zealand on well‐being,2011
"Observational, Longitudinal / Panel","Low resource level, Human capital inputs","Self-efficacy, Self esteem",Educational achievement,Teacher Community in Urban Elementary Schools: The Role of Leadership and Bureaucratic Accountability,2011
"Observational, Cross-sectional, Longitudinal / Panel","Low resource level, Social environment","Memory, Insufficient info",Educational achievement,How Does the Achievement Gap Between Immigrant and Native-Born Pupils Progress From Primary to Secondary Education?,2018
Interviews,"Low resource level, Human capital inputs","Aspirations, Self-efficacy",Educational achievement,Uncovering and Informing Preservice Teachers’ Prior Knowledge About Poverty,2015
"Observational, Cross-sectional",Low resource level,Risk preferences,Consumption,Risk Behavior and HIV/AIDS Spread among Petty Traders in Namanga Border (Tanzania and Kenya Border),2016
"Observational, Interviews","Low resource level, Social environment","Aspirations, Self-efficacy","Family interaction, Parenting",Our journey at Aldergrove Public School – social justice Praxis in one Canadian Elementary School,2015
"Observational, Cross-sectional","Low resource level, Physical environment","Aspirations, Locus of control",Occupational choice,Small-town sustainable development opportunities,2021
"Observational, Interviews",Low resource level,Locus of control,Occupational choice,Reconceptualising Occupational Therapy,2005
"Observational, Insufficient info","Low resource level, Physical environment","Stress, Insufficient info","Insufficient info, Insufficient info",Sanctioned to Death? The Impact of Economic Sanctions on Life Expectancy and Its Gender Gap,2017
Interviews,"Low resource level, Social environment","Self-efficacy, Self esteem",Parenting,“I’m used to doing it by myself”: exploring self-reliance in pregnancy,2018
Observational,"Low resource level, Resource volatility",Time preferences,Consumption,A research on the evaluation of consumers’ voluntary simplicity lifestyle tendency in the Covid-19 period,2020
Observational,"Low resource level, Resource volatility","Stress, Risk preferences",Labor Supply,Partners in Social Entrepreneurship: A UK Approach to Buyer's Risk-Externalities,2017
Observational,"Low resource level, Resource volatility","Time preferences, Risk preferences",Saving,The role of direct capital cash transfers towards poverty and extreme poverty alleviation - an omega risk process,2024
Observational,Low resource level,Self-efficacy,Educational achievement,Money--With Strings--to Fight Poverty,2008
"Observational, Interviews","Low resource level, Social environment","Internalized stigma, Self esteem",Educational achievement,Shaping Occupational Possibilities for Norwegian Immigrant Children: A Critical Discourse Analysis,2015
"Observational, Interviews","Low resource level, Social environment","Stress, Internalized stigma","Family interaction, Labor Supply",Going Home: Formerly Incarcerated African American Men Return to Families and Communities,2005
"Observational, Interviews",Social environment,"Aspirations, Locus of control",Educational achievement,Ignorant Mobs or Rational Actors? Understanding Support for Venezuela's “Bolivarian Revolution”,2015
"Observational, Interviews",Low resource level,"Self-efficacy, Locus of control",Educational achievement,Medical Students' Experiences with Professional Patients in Egypt,2015
"Observational, Interviews, Focus groups","Low resource level, Social environment","Anxiety, Stress","Consumption, Medication adherence","""Carrying Ibuprofen in the Bag"": Priority Health Concerns of Latin American Migrants in Spain- A Participatory Qualitative Study",2015
Observational,"Low resource level, Human capital inputs",Internalized stigma,Educational achievement,Implementing effective sociocultural integration strategies to decrease university student dropout rates,2024
"Observational, Cross-sectional",Human capital inputs,Self esteem,Educational achievement,The Relationship Between Motivation to Read Chinese and English and Its Impact on the Chinese and English Reading Performance of Chinese Students,2009
"Observational, Cross-sectional","Low resource level, Physical environment",Stress,"Investing, Food diet","Lives and Livelihoods in Smallholder Farming Systems of Senegal: Impacts, Adaptation, and Resilience to COVID-19",2023
"Observational, Interviews",Low resource level,Self-efficacy,Medication adherence,Health Incentivization via Sehat Sahulat Program,2021
Longitudinal / Panel,Low resource level,"Anxiety, Depression",Educational achievement,Joint trajectories of depression and perfectionism across adolescence and childhood risk factors,2017
"Observational, Case-study, Interviews","Low resource level, Social environment",Internalized stigma,Family interaction,"Containers of “Meat, Blood, and Madness”",2024
"Case-study, Observational","Low resource level, Physical environment",Stress,Crime,Craniocerebral gunshot injury in newborn,2012
Observational,"Low resource level, Social environment","Aspirations, Risk preferences",Investing,"Journal of Sociology &amp; Social Welfare Vol. 34, No. 2 (June 2007)",2007
"Observational, Interviews",Low resource level,"Aspirations, Locus of control",Educational achievement,"Educating for profit, educating global citizenship",2012
"Observational, Interviews",Low resource level,"Executive function, Memory",Investing,An Analysis of the Value Chain for Indigenous Chickens in Zambia’s Lusaka and Central Provinces,2014
"Observational, Case-study",Low resource level,Self-efficacy,Investing,Impact of ICT on Human Resources and Socio-Cultural Perspectives of Microfinance Organizations,2019
Cross-sectional,Low resource level,"Time preferences, Risk preferences","Consumption, Investing",Exploring the Relationships of Financial Literacy and Financial Behaviour with Health-Related Quality of Life (HRQOL) among the Low-Income Working Population in Malaysia during the COVID-19 Pandemic,2022
"Observational, Cross-sectional","Low resource level, Physical environment","Anxiety, Stress",Crime,Mapping crime determinants in Central Java: an in-depth exploration through local spatial association and regression analysis,2022
Observational,Low resource level,Aspirations,Consumption,DISMINUCIÓN DE LA FECUNDIDAD Y CAMBIOS EN LAS NECESIDADES INSATISFECHAS DE PLANIFICACIÓN FAMILIAR EN LOS PAÍSES DE AMÉRICA LATINA Y EL CARIBE,2017
"Observational, Case-study, Interviews","Low resource level, Social environment","Aspirations, Locus of control",Family interaction,"The Privilege of Poverty: Clare of Assisi, Agnes of Prague, and the Struggle for a Franciscan Rule for Women. By JOAN MUELLER.",2007
Interviews,Human capital inputs,"Aspirations, Self-efficacy",Educational achievement,Unpacking the Complex and Multifaceted Nature of Parental Influences on Southeast Asian American College Students' Educational Trajectories,2013
"Ethnography, Observational","Low resource level, Resource volatility, Physical environment",Internalized stigma,Labor Supply,The revolution will not be paid: The politics of small town entrepreneurial economic development,2019
"Observational, Cross-sectional",Low resource level,"Aspirations, Locus of control","Consumption, Educational achievement",Can a ‘living wage’ springboard human capability? An exploratory study from New Zealand,2016
"Observational, Cross-sectional","Low resource level, Social environment",Aspirations,Educational achievement,Education and Civil Conflict in Nepal,2013
